Respondent_ID,Date,Interviewer_Name,Respondent_Group,Hospital_Type,Medical_Condition,Current_Pain_Points,Current_Experience_Quotes,Practical_Need_Rating,If_No_System_Impact,Preferred_Channel,Trust_In_AI_1to5,Privacy_Audio_Recording_Concern,Willingness_To_Use,ClosedLoop_Confirmation_Willingness,TextToSpeech_Voice_Need,ColorCoded_Med_Matrix_Need,Caregiver_Checklist_Need,Actionable_Product_Requirements
PT-01,,,ผู้ดูแล/ลูกหลาน,รพ.รัฐ,โรคความดัน/เบาหวาน,จำคำสั่งหมอไม่ได้/สับสนเรื่องยา,,จำเป็นอย่างยิ่ง,,LINE OA,4,ไม่กังวล,ยินดีใช้,ยินดีกดยืนยันทุกครั้ง,จำเป็น,จำเป็นอย่างยิ่ง,จำเป็นอย่างยิ่ง,
PT-02,,,ผู้ดูแล/ลูกหลาน,รพ.รัฐ,โรคความดัน/เบาหวาน,จำคำสั่งหมอไม่ได้/สับสนเรื่องยา,,จำเป็นอย่างยิ่ง,,LINE OA,4,ไม่กังวล,ยินดีใช้,ยินดีกดยืนยันทุกครั้ง,จำเป็น,จำเป็นอย่างยิ่ง,จำเป็นอย่างยิ่ง,
PT-03,,,ผู้ดูแล/ลูกหลาน,รพ.รัฐ,โรคความดัน/เบาหวาน,จำคำสั่งหมอไม่ได้/สับสนเรื่องยา,,จำเป็นอย่างยิ่ง,,LINE OA,4,ไม่กังวล,ยินดีใช้,ยินดีกดยืนยันทุกครั้ง,จำเป็น,จำเป็นอย่างยิ่ง,จำเป็นอย่างยิ่ง,
PT-04,,,ผู้ดูแล/ลูกหลาน,รพ.รัฐ,โรคความดัน/เบาหวาน,จำคำสั่งหมอไม่ได้/สับสนเรื่องยา,,จำเป็นอย่างยิ่ง,,LINE OA,4,ไม่กังวล,ยินดีใช้,ยินดีกดยืนยันทุกครั้ง,จำเป็น,จำเป็นอย่างยิ่ง,จำเป็นอย่างยิ่ง,
PT-05,,,ผู้ดูแล/ลูกหลาน,รพ.รัฐ,โรคความดัน/เบาหวาน,จำคำสั่งหมอไม่ได้/สับสนเรื่องยา,,จำเป็นอย่างยิ่ง,,LINE OA,4,ไม่กังวล,ยินดีใช้,ยินดีกดยืนยันทุกครั้ง,จำเป็น,จำเป็นอย่างยิ่ง,จำเป็นอย่างยิ่ง,
PT-06,,,ผู้ดูแล/ลูกหลาน,รพ.รัฐ,โรคความดัน/เบาหวาน,จำคำสั่งหมอไม่ได้/สับสนเรื่องยา,,จำเป็นอย่างยิ่ง,,LINE OA,4,ไม่กังวล,ยินดีใช้,ยินดีกดยืนยันทุกครั้ง,จำเป็น,จำเป็นอย่างยิ่ง,จำเป็นอย่างยิ่ง,
PT-07,,,ผู้ดูแล/ลูกหลาน,รพ.รัฐ,โรคความดัน/เบาหวาน,จำคำสั่งหมอไม่ได้/สับสนเรื่องยา,,จำเป็นอย่างยิ่ง,,LINE OA,4,ไม่กังวล,ยินดีใช้,ยินดีกดยืนยันทุกครั้ง,จำเป็น,จำเป็นอย่างยิ่ง,จำเป็นอย่างยิ่ง,
PT-08,,,ผู้ดูแล/ลูกหลาน,รพ.รัฐ,โรคความดัน/เบาหวาน,จำคำสั่งหมอไม่ได้/สับสนเรื่องยา,,จำเป็นอย่างยิ่ง,,LINE OA,4,ไม่กังวล,ยินดีใช้,ยินดีกดยืนยันทุกครั้ง,จำเป็น,จำเป็นอย่างยิ่ง,จำเป็นอย่างยิ่ง,
PT-09,,,ผู้ดูแล/ลูกหลาน,รพ.รัฐ,โรคความดัน/เบาหวาน,จำคำสั่งหมอไม่ได้/สับสนเรื่องยา,,จำเป็นอย่างยิ่ง,,LINE OA,4,ไม่กังวล,ยินดีใช้,ยินดีกดยืนยันทุกครั้ง,จำเป็น,จำเป็นอย่างยิ่ง,จำเป็นอย่างยิ่ง,
PT-10,,,ผู้ดูแล/ลูกหลาน,รพ.รัฐ,โรคความดัน/เบาหวาน,จำคำสั่งหมอไม่ได้/สับสนเรื่องยา,,จำเป็นอย่างยิ่ง,,LINE OA,4,ไม่กังวล,ยินดีใช้,ยินดีกดยืนยันทุกครั้ง,จำเป็น,จำเป็นอย่างยิ่ง,จำเป็นอย่างยิ่ง,
