Respondent_ID,Date,Interviewer_Name,Role_Position,Department,Hospital_Type,Avg_Time_Per_Case_Min,Explanation_Time_Adequacy,Pain_Points_Quotes,Practical_Need_Rating,If_No_System_Impact,Top_Pros_Liked,Hallucination_Risk_Concern_1to5,Malpractice_Liability_Concern_1to5,Review_Time_Concern_1to5,Privacy_PDPA_Concern_1to5,Must_Have_Verification_Feature,Willingness_To_Adopt,Main_Adoption_Blockers,Thai_English_CodeSwitching_Pref,ClosedLoop_ReadReceipt_Need,Actionable_Product_Requirements
DOC-01,,,แพทย์ทั่วไป/แพทย์เฉพาะทาง,OPD,รพ.รัฐ,,ไม่เพียงพอ,,จำเป็นอย่างยิ่ง,,,4,5,4,3,ปุ่มกดฟังเสียงย้อนหลัง Linked Audio Evidence,ยินดีใช้ทุกเคส,,แปลเป็นภาษาไทย ป.5,จำเป็นต้องมี,
DOC-02,,,แพทย์ทั่วไป/แพทย์เฉพาะทาง,OPD,รพ.รัฐ,,ไม่เพียงพอ,,จำเป็นอย่างยิ่ง,,,4,5,4,3,ปุ่มกดฟังเสียงย้อนหลัง Linked Audio Evidence,ยินดีใช้ทุกเคส,,แปลเป็นภาษาไทย ป.5,จำเป็นต้องมี,
DOC-03,,,แพทย์ทั่วไป/แพทย์เฉพาะทาง,OPD,รพ.รัฐ,,ไม่เพียงพอ,,จำเป็นอย่างยิ่ง,,,4,5,4,3,ปุ่มกดฟังเสียงย้อนหลัง Linked Audio Evidence,ยินดีใช้ทุกเคส,,แปลเป็นภาษาไทย ป.5,จำเป็นต้องมี,
DOC-04,,,แพทย์ทั่วไป/แพทย์เฉพาะทาง,OPD,รพ.รัฐ,,ไม่เพียงพอ,,จำเป็นอย่างยิ่ง,,,4,5,4,3,ปุ่มกดฟังเสียงย้อนหลัง Linked Audio Evidence,ยินดีใช้ทุกเคส,,แปลเป็นภาษาไทย ป.5,จำเป็นต้องมี,
DOC-05,,,แพทย์ทั่วไป/แพทย์เฉพาะทาง,OPD,รพ.รัฐ,,ไม่เพียงพอ,,จำเป็นอย่างยิ่ง,,,4,5,4,3,ปุ่มกดฟังเสียงย้อนหลัง Linked Audio Evidence,ยินดีใช้ทุกเคส,,แปลเป็นภาษาไทย ป.5,จำเป็นต้องมี,
DOC-06,,,แพทย์ทั่วไป/แพทย์เฉพาะทาง,OPD,รพ.รัฐ,,ไม่เพียงพอ,,จำเป็นอย่างยิ่ง,,,4,5,4,3,ปุ่มกดฟังเสียงย้อนหลัง Linked Audio Evidence,ยินดีใช้ทุกเคส,,แปลเป็นภาษาไทย ป.5,จำเป็นต้องมี,
DOC-07,,,แพทย์ทั่วไป/แพทย์เฉพาะทาง,OPD,รพ.รัฐ,,ไม่เพียงพอ,,จำเป็นอย่างยิ่ง,,,4,5,4,3,ปุ่มกดฟังเสียงย้อนหลัง Linked Audio Evidence,ยินดีใช้ทุกเคส,,แปลเป็นภาษาไทย ป.5,จำเป็นต้องมี,
DOC-08,,,แพทย์ทั่วไป/แพทย์เฉพาะทาง,OPD,รพ.รัฐ,,ไม่เพียงพอ,,จำเป็นอย่างยิ่ง,,,4,5,4,3,ปุ่มกดฟังเสียงย้อนหลัง Linked Audio Evidence,ยินดีใช้ทุกเคส,,แปลเป็นภาษาไทย ป.5,จำเป็นต้องมี,
DOC-09,,,แพทย์ทั่วไป/แพทย์เฉพาะทาง,OPD,รพ.รัฐ,,ไม่เพียงพอ,,จำเป็นอย่างยิ่ง,,,4,5,4,3,ปุ่มกดฟังเสียงย้อนหลัง Linked Audio Evidence,ยินดีใช้ทุกเคส,,แปลเป็นภาษาไทย ป.5,จำเป็นต้องมี,
DOC-10,,,แพทย์ทั่วไป/แพทย์เฉพาะทาง,OPD,รพ.รัฐ,,ไม่เพียงพอ,,จำเป็นอย่างยิ่ง,,,4,5,4,3,ปุ่มกดฟังเสียงย้อนหลัง Linked Audio Evidence,ยินดีใช้ทุกเคส,,แปลเป็นภาษาไทย ป.5,จำเป็นต้องมี,
