Respondent_ID,Group,Scenario1_OPD3Min_Score,Scenario1_Comments,Scenario2_ED_RedFlags_Score,Scenario2_Comments,Scenario3_IPD_MedMatrix_Score,Scenario3_Comments,Scenario4_ClosedLoop_Confirm_Score,Scenario4_Comments,Overall_Scenario_Average
DOC-01,แพทย์,5,,5,,5,,4,,"=AVERAGE(C2,E2,G2,I2)"
DOC-02,แพทย์,5,,5,,5,,4,,"=AVERAGE(C2,E2,G2,I2)"
DOC-03,แพทย์,5,,5,,5,,4,,"=AVERAGE(C2,E2,G2,I2)"
DOC-04,แพทย์,5,,5,,5,,4,,"=AVERAGE(C2,E2,G2,I2)"
DOC-05,แพทย์,5,,5,,5,,4,,"=AVERAGE(C2,E2,G2,I2)"
DOC-06,แพทย์,5,,5,,5,,4,,"=AVERAGE(C2,E2,G2,I2)"
DOC-07,แพทย์,5,,5,,5,,4,,"=AVERAGE(C2,E2,G2,I2)"
DOC-08,แพทย์,5,,5,,5,,4,,"=AVERAGE(C2,E2,G2,I2)"
DOC-09,แพทย์,5,,5,,5,,4,,"=AVERAGE(C2,E2,G2,I2)"
DOC-10,แพทย์,5,,5,,5,,4,,"=AVERAGE(C2,E2,G2,I2)"
PT-01,ผู้ดูแล/ผู้ป่วย,5,,5,,5,,5,,"=AVERAGE(C12,E12,G12,I12)"
PT-02,ผู้ดูแล/ผู้ป่วย,5,,5,,5,,5,,"=AVERAGE(C12,E12,G12,I12)"
PT-03,ผู้ดูแล/ผู้ป่วย,5,,5,,5,,5,,"=AVERAGE(C12,E12,G12,I12)"
PT-04,ผู้ดูแล/ผู้ป่วย,5,,5,,5,,5,,"=AVERAGE(C12,E12,G12,I12)"
PT-05,ผู้ดูแล/ผู้ป่วย,5,,5,,5,,5,,"=AVERAGE(C12,E12,G12,I12)"
PT-06,ผู้ดูแล/ผู้ป่วย,5,,5,,5,,5,,"=AVERAGE(C12,E12,G12,I12)"
PT-07,ผู้ดูแล/ผู้ป่วย,5,,5,,5,,5,,"=AVERAGE(C12,E12,G12,I12)"
PT-08,ผู้ดูแล/ผู้ป่วย,5,,5,,5,,5,,"=AVERAGE(C12,E12,G12,I12)"
PT-09,ผู้ดูแล/ผู้ป่วย,5,,5,,5,,5,,"=AVERAGE(C12,E12,G12,I12)"
PT-10,ผู้ดูแล/ผู้ป่วย,5,,5,,5,,5,,"=AVERAGE(C12,E12,G12,I12)"
